name,address,symbol,chain,slug,gecko_id,category,tvl,id_collection,update_date
Eklipse Finance,klaytn:0x807c4e063eb0ac21e8eef7623a6ed50a8ede58ca,EKL,Klaytn,eklipse-finance,,Dexes,1478201.8661182586,None,2023-09-09
Elk,ethereum:0xeEeEEb57642040bE42185f49C52F7E9B38f8eeeE,ELK,Multi-Chain,elk,elk-finance,Dexes,1011345.0006976743,Automatically,2023-09-09
EmpireDEX,empire:0xc84d8d03aa41ef941721a4d77b24bb44d7c7ac55,EMPIRE,Multi-Chain,empiredex,empire-network,Dexes,1092439.7300164597,Manually,2023-09-09
EOS REX,eos:eos,EOS,EOS,eos-rex,eos,Lending,33078526.267579656,Automatically,2023-09-09
Ellipsis Finance,binance-smart-chain:0xA7f552078dcC247C2684336020c03648500C6d9F,EPS,Binance,ellipsis-finance,ellipsis,Dexes,4633434.974787504,Automatically,2023-09-09
Equilibrium Lending,-,EQ,Equilibrium,equilibrium-lending,equilibrium-token,Lending,1048458.7995701166,Manually,2023-09-09
Equilibria,arbitrum:0xbfbcfe8873fe28dfa25f1099282b088d52bbad9c,EQB,Multi-Chain,equilibria,equilibria-finance,Yield,43004125.6538174,Automatically,2023-09-09
Equalizer Exchange,fantom:0x3Fd3A0c85B70754eFc07aC9Ac0cbBDCe664865A6,EQUAL,Fantom,equalizer-exchange,equalizer-dex,Dexes,1893807.6291097573,Manually,2023-09-09
Ethernity Chain,ethereum:0xbbc2ae13b23d715c30720f079fcd9b4a74093505,ERN,Ethereum,ethernity-chain,ethernity-chain,Yield,3358854.0464072744,Automatically,2023-09-09
DSU Money,0x24aE124c4CC33D6791F8E8B63520ed7107ac8b3e,ESS,Multi-Chain,dsu-money,,CDP,4214092.86452605,None,2023-09-09
Ethereum,ethereum:0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,Ethereum,,ethereum,Other,,Manually,2023-09-09
Exactly,optimism:0x1e925de1c68ef83bd98ee3e130ef14a50309c01b,EXA,Multi-Chain,exactly,exa,Lending,11469927.900445355,Automatically,2023-09-09
FLRX,songbird:0x72D932019AE098A6368E6676E16169D112E7720A,EXFI,Multi-Chain,flrx,flare-finance,Dexes,6100634.432197362,Automatically,2023-09-09
Extra Finance,optimism:0x2dad3a13ef0c6366220f989157009e501e7938f8,EXTRA,Multi-Chain,extra-finance,extra-finance,Leveraged Farming,25343333.09337322,Automatically,2023-09-09
Harvest Finance,ethereum:0xa0246c9032bC3A600820415aE600c6388619A14D,FARM,Multi-Chain,harvest-finance,harvest-finance,Yield Aggregator,9340716.960100057,Automatically,2023-09-09
Ferro,cronos:0x39bC1e38c842C60775Ce37566D03B41A7A66C782,FER,Cronos,ferro,ferro,Dexes,27172324.080391303,Automatically,2023-09-09
FilDA,heco:0xe36ffd17b2661eb57144ceaef942d95295e637f0,FILDA,Multi-Chain,filda,filda,Lending,8035741.899627965,Automatically,2023-09-09
Definix,bsc:0x0f02b1f5af54e04fb6dd6550f009ac2429c4e30d,FINIX,Multi-Chain,definix,,Dexes,1741697.2782236016,Manually,2023-09-09
Stafi,ethereum:0xef3A930e1FfFFAcd2fc13434aC81bD278B0ecC8d,FIS,Multi-Chain,stafi,stafi,Liquid Staking,15223270.217943886,Automatically,2023-09-09
Flamincome,0x57dD84042ec9507963016596A34EdaD42F7e4CCE,FLAG,Ethereum,flamincome,,Yield Aggregator,58286572.35392426,None,2023-09-09
Flashstake,ethereum:0xB1f1F47061A7Be15C69f378CB3f69423bD58F2F8,FLASH,Multi-Chain,flashstake,flash-stake,Yield,1529359.970110142,Automatically,2023-09-09
Flamingo Finance,neo:-,FLM,NEO,flamingo-finance,flamingo-finance,Dexes,28129053.641958963,Automatically,2023-09-09
FlokiFi Locker,ethereum:0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,Multi-Chain,flokifi-locker,floki,Launchpad,2674243.063618093,Automatically,2023-09-09
Velocimeter V2,canto:0xb5b060055f0d1ef5174329913ef861bc3addf029,FLOW,Multi-Chain,velocimeter-v2,velocimeter-flow,Dexes,1833803.4394894708,Manually,2023-09-09
Reflexer,ethereum:0x6243d8cea23066d098a15582d81a598b4e8391f4,FLX,Ethereum,reflexer,reflexer-ungovernance-token,CDP,22258702.35773237,Automatically,2023-09-09
ForTube,ethereum:0x1fcdce58959f536621d76f5b7ffb955baa5a672f,FOR,Multi-Chain,fortube,force-protocol,Lending,1016603.3133240396,Automatically,2023-09-09
handle.fi Perps,ethereum:0xdb298285fe4c5410b05390ca80e8fbe9de1f259b,FOREX,Arbitrum,handle.fi-perps,handle-fi,Derivatives,1434577.1766773884,Manually,2023-09-09
Frax FPI,ethereum:0xc2544a32872a91f4a553b404c6950e89de901fdb,FPIS,Ethereum,frax-fpi,frax-price-index-share,Algo-Stables,26941722.47347863,Automatically,2023-09-09
FVM Exchange,fantom:0x07bb65faac502d4996532f834a1b7ba5dc32ff96,FVM,Fantom,fvm-exchange,fantom-velocimeter,Dexes,2328252.665246013,Automatically,2023-09-09
Frax,ethereum:0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,Ethereum,frax,frax-share,Algo-Stables,71168468.09452222,Manually,2023-09-09
GoodDollar,0x67C5870b4A41D4Ebef24d2456547A03F1f3e094B,G$,Multi-Chain,gooddollar,,Yield,1673161.692015432,None,2023-09-09
Green Planet,binance-smart-chain:0xb3cb6d2f8f2fde203a022201c81a96c167607f15,GAMMA,Binance,green-planet,green-planet,Lending,7229177.727545021,Manually,2023-09-09
Gamma,ethereum:0x6bea7cfef803d1e3d5f7c0103f7ded065644e197,GAMMA,Multi-Chain,gamma,gamma-strategies,Liquidity manager,77840505.47019197,Automatically,2023-09-09
Gearbox,ethereum:0xba3335588d9403515223f109edc4eb7269a9ab5d,GEAR,Ethereum,gearbox,gearbox,Leveraged Farming,26950803.113523632,Automatically,2023-09-09
Goldfinch,ethereum:0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b,GFI,Ethereum,goldfinch,goldfinch,RWA Lending,1103103.5972084196,Automatically,2023-09-09
GoGoPool,avalanche:0x69260B9483F9871ca57f81A90D91E2F96c2Cd11d,GGP,Avalanche,gogopool,gogopool,Liquid Staking,1350046.082306282,Manually,2023-09-09
GrizzlyFi Hives,binance-smart-chain:0xa045e37a0d1dd3a45fefb8803d22457abc0a728a,GHNY,Binance,grizzlyfi-hives,grizzly-honey,Yield,1940477.4992731395,Manually,2023-09-09
Glide Finance,elastos:0xd39eC832FF1CaaFAb2729c76dDeac967ABcA8F27,GLIDE,Elastos,glide-finance,glide-finance,Dexes,1273852.5698905794,Automatically,2023-09-09
GMD Protocol,arbitrum:0x4945970EfeEc98D393b4b979b9bE265A3aE28A8B,GMD,Multi-Chain,gmd-protocol,gmd-protocol,Yield Aggregator,10253534.591232888,Automatically,2023-09-09
GMX V1,arbitrum:0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,GMX,Multi-Chain,gmx-v1,gmx,Derivatives,437214470.8682007,Manually,2023-09-09
GMX V2,arbitrum:0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,GMX,Multi-Chain,gmx-v2,gmx,Derivatives,30372662.3717455,Manually,2023-09-09
GND Protocol,arbitrum:0xd67a097dce9d4474737e6871684ae3c05460f571,GND,Arbitrum,gnd-protocol,gnd-protocol,Yield,8413324.97830981,Automatically,2023-09-09
Gains Network,polygon:0xe5417af564e4bfda1c483642db72007871397896,GNS,Multi-Chain,gains-network,gains-network,Derivatives,34541932.41709144,Automatically,2023-09-09
Golff Protocol,ethereum:0x488e0369f9bc5c40c002ea7c1fe4fd01a198801c,GOF,Multi-Chain,golff-protocol,golff,Yield,1153973.716290128,Automatically,2023-09-09
Goledo,conflux:0xa4b59aa3de2af57959c23e2c9c89a2fcb408ce6a,GOL,Conflux,goledo,goledo,Lending,2955846.7192054437,Automatically,2023-09-09
CVI Finance,ethereum:0xeeaa40b28a2d1b0b08f6f97bb1dd4b75316c6107,GOVI,Multi-Chain,cvi-finance,govi,Synthetics,1636679.7954748096,Automatically,2023-09-09
Gravita Protocol,ethereum:0x15f74458ae0bfdaa1a96ca1aa779d715cc1eefe4,GRAI,Multi-Chain,gravita-protocol,grai,CDP,30077318.16278841,Automatically,2023-09-09
Camelot V2,arbitrum:0x3d9907F9a368ad0a51Be60f7Da3b97cf940982D8,GRAIL,Arbitrum,camelot-v2,camelot-token,Dexes,43046833.21364583,Manually,2023-09-09
Camelot V3,arbitrum:0x3d9907F9a368ad0a51Be60f7Da3b97cf940982D8,GRAIL,Arbitrum,camelot-v3,camelot-token,Dexes,14019289.382973656,Manually,2023-09-09
Gro,ethereum:0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7,GRO,Multi-Chain,gro,gro-dao-token,Yield,2819386.54918381,Automatically,2023-09-09
Guard-Helmet,polygon:0x948d2a81086A075b3130BAc19e4c6DEe1D2E3fE8,GUARD,Multi-Chain,guard-helmet,helmet-insure,Insurance,6014488.270019654,Automatically,2023-09-09
Hakka Finance,ethereum:0x0E29e5AbbB5FD88e28b2d355774e73BD47dE3bcd,HAKKA,Multi-Chain,hakka-finance,hakka-finance,Derivatives,3889068.832876252,Automatically,2023-09-09
Kava Lend,energi:0xeeaccbb6ce1b5be68a2cf9d0dea27d4b807848d2,HARD,Kava,kava-lend,kava-lend,Lending,91222935.58961692,Automatically,2023-09-09
Hawksight,solana:BKipkearSqAUdNKa1WDstvcMjoPsSKBuNyvKDQDDu9WE,HAWK,Solana,hawksight,hawksight,Yield Aggregator,3094118.5105716456,Automatically,2023-09-09
Helio Protocol,binance-smart-chain:0x0782b6d8c4551B9760e74c0545a9bCD90bdc41E5,HAY,Binance,helio-protocol,helio-protocol-hay,CDP,38324262.62655191,Automatically,2023-09-09
Hubble,solana:HBB111SCo9jkCejsZfz8Ec8nH7T6THF8KEKSnvwT6XK6,HBB,Solana,hubble,hubble,CDP,3024228.1135283094,Automatically,2023-09-09
Hegic,ethereum:0x584bC13c7D411c00c01A62e8019472dE68768430,HEGIC,Multi-Chain,hegic,hegic,Options,7279515.733495141,Automatically,2023-09-09
Hermes Protocol,metis:0xb27bbeaaca2c00d6258c3118bab6b5b6975161c8,HERMES,Metis,hermes-protocol,hermes-protocol,Dexes,4500778.026802307,Automatically,2023-09-09
Hashflow,ethereum:0xb3999f658c0391d94a37f7ff328f3fec942bcadc,HFT,Multi-Chain,hashflow,hashflow,Dexes,1032276.8574144772,Manually,2023-09-09
HMX,arbitrum:0x83d6c8c06ac276465e4c92e7ac8c23740f435140,HMX,Multi-Chain,hmx,hmx,Derivatives,22004280.29801649,Automatically,2023-09-09
Honeyswap,xdai:0x71850b7e9ee3f13ab46d67167341e4bdc905eef9,HNY,Multi-Chain,honeyswap,honey,Dexes,4900356.674485118,Automatically,2023-09-09
Hop Protocol,ethereum:0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,HOP,Multi-Chain,hop-protocol,hop-protocol,Cross Chain,58747070.37927323,Automatically,2023-09-09
Hord,ethereum:0x43a96962254855f16b925556f9e97be436a43448,HORD,Ethereum,hord,hord,Liquid Staking,3074916.2258206047,Automatically,2023-09-09
Hummus Exchange,metis:0x4aac94985cd83be30164dfe7e9af7c054d7d2121,HUM,Metis,hummus-exchange,hummus,Dexes,4984718.13357833,Automatically,2023-09-09
Horizon Protocol,binance-smart-chain:0xc0eff7749b125444953ef89682201fb8c6a917cd,HZN,Binance,horizon-protocol,horizon-protocol,Derivatives,2465024.442699875,Automatically,2023-09-09
Iron Bank,fantom:0x00a35FD824c717879BF370E70AC6868b95870Dfb,IB,Multi-Chain,iron-bank,iron-bank,Lending,18659065.67584515,Automatically,2023-09-09
Impermax Finance,ethereum:0xf655c8567e0f213e6c634cd2a68d992152161dc6,IBEX,Multi-Chain,impermax-finance,impermax-2,Yield,2699388.378812187,Automatically,2023-09-09
ICHI,0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,ICHI,Multi-Chain,ichi,,Liquidity manager,9597428.315675637,Manually,2023-09-09
IDEX,ethereum:0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,IDEX,Multi-Chain,idex,aurora-dao,Dexes,2410840.508148755,Automatically,2023-09-09
Idle,ethereum:0x875773784Af8135eA0ef43b5a374AaD105c5D39e,IDLE,Multi-Chain,idle,idle,Yield Aggregator,35080903.04562256,Automatically,2023-09-09
IFPool,csc:0x1D7C98750A47762FA8B45c6E3744aC6704F44698,IFT,CSC,ifpool,,Liquid Staking,1497308.639728101,Manually,2023-09-09
ImmutableX,ethereum:0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,IMX,Ethereum,immutablex,immutable-x,NFT Marketplace,34076564.555925936,Automatically,2023-09-09
Index Coop,ethereum:0x0954906da0Bf32d5479e25f46056d22f08464cab,INDEX,Ethereum,index-coop,index-cooperative,Indexes,46632678.3060559,Automatically,2023-09-09
Indigo,cardano:asset1u8caujpkc0km4vlwxnd8f954lxphrc8l55ef3j,INDY,Cardano,indigo,indigo-dao-governance-token,CDP,32806779.148919072,Automatically,2023-09-09
Injective Bridge,ethereum:0xe28b3b32b6c345a34ff64674606124dd5aceca30,INJ,Ethereum,injective-bridge,injective-protocol,Bridge,12690376.692108678,Automatically,2023-09-09
Instadapp,ethereum:0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,Ethereum,instadapp,instadapp,Services,1810148099.709936,Automatically,2023-09-09
InsurAce,ethereum:0x544c42fbb96b39b21df61cf322b5edc285ee7429,INSUR,Multi-Chain,insurace,insurace,Insurance,3521337.511531064,Automatically,2023-09-09
Interlay BTC,-,INTR,Interlay,interlay-btc,interlay,Bridge,1682866.4866337,Manually,2023-09-09
Interlay Collateral,-,INTR,Interlay,interlay-collateral,interlay,Cross Chain,2623516.0,Manually,2023-09-09
Inverse Finance Frontier,ethereum:0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,INV,Ethereum,inverse-finance-frontier,inverse-finance,CDP,5131750.654620541,Manually,2023-09-09
Inverse Finance FiRM,ethereum:0x41d5d79431a913c4ae7d69a668ecdfe5ff9dfb68,INV,Ethereum,inverse-finance-firm,inverse-finance,CDP,44101703.500662684,Automatically,2023-09-09
IPOR,ethereum:0x1e4746dc744503b53b4a082cb3607b169a289090,IPOR,Ethereum,ipor,ipor,Derivatives,13431045.925073318,Automatically,2023-09-09
Integral,ethereum:0xd502f487e1841fdc805130e13eae80c61186bc98,ITGR,Multi-Chain,integral,integral,Dexes,1691047.3889699578,Automatically,2023-09-09
Interport Finance,ethereum:0x2b1D36f5B61AdDAf7DA7ebbd11B35FD8cfb0DE31,ITP,Multi-Chain,interport-finance,interport-token,Cross Chain,4218052.11769277,Automatically,2023-09-09
iZiSwap,ethereum:0x9ad37205d608B8b219e6a2573f922094CEc5c200,IZI,Multi-Chain,iziswap,izumi-finance,Dexes,18343537.539131857,Manually,2023-09-09
Juicebox V1,ethereum:0x3abf2a4f8452ccc2cf7b4c1e4663147600646f66,JBX,Ethereum,juicebox-v1,juicebox,Launchpad,8238190.334501428,Manually,2023-09-09
Defi Kingdoms,harmony:0x72cb10c6bfa5624dd07ef608027e366bd690048f,JEWEL,Multi-Chain,defi-kingdoms,defi-kingdoms,Dexes,2117558.916931276,Automatically,2023-09-09
Joe V2,avalanche:0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,Multi-Chain,joe-v2,joe,Dexes,2148200.522973124,Manually,2023-09-09
Trader Joe DEX,avalanche:0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,Multi-Chain,trader-joe-dex,joe,Dexes,22172027.620936777,Manually,2023-09-09
Joe V2.1,avalanche:0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,Multi-Chain,joe-v2.1,joe,Dexes,47331532.551519655,Manually,2023-09-09
Trader Joe Lend,avalanche:0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,JOE,Avalanche,trader-joe-lend,joe,Lending,6348320.738085633,Manually,2023-09-09
Jones DAO,arbitrum:0x10393c20975cf177a3513071bc110f7962cd67da,JONES,Multi-Chain,jones-dao,jones-dao,Yield Aggregator,24262154.17581538,Automatically,2023-09-09
JPEG'd,ethereum:0xe80c0cd204d654cebe8dd64a4857cab6be8345a3,JPEG,Ethereum,jpegd,jpeg-d,NFT Lending,13447285.244850878,Automatically,2023-09-09
Jarvis Network,ethereum:0x8a9c67fee641579deba04928c4bc45f66e26343a ,JRT,Multi-Chain,jarvis-network,jarvis-reward-token,Derivatives,2903376.081673369,Automatically,2023-09-09
JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,Tron,justlend,just,Lending,3634840084.3710194,Automatically,2023-09-09
JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,Tron,justcryptos,just,Bridge,2943144335.0,Manually,2023-09-09
KlayBank,klaytn:0x946bc715501413b9454bb6a31412a21998763f2d,KBT,Klaytn,klaybank,,Lending,2838282.771006804,None,2023-09-09
Kaidex,kardiachain:0xe9cac5d99375d02fb506be890011b2f57fc614e1,KDX,Kardia,kaidex,kaidex,Dexes,4864335.15876056,Automatically,2023-09-09
Kine Finance,binance-smart-chain:0xbfa9df9ed8805e657d0feab5d186c6a567752d7f,KINE,Multi-Chain,kine-finance,kine-protocol,Yield,4964263.919912295,Automatically,2023-09-09
Klap,klay-token:0xd109065ee17e2dc20b3472a4d4fb5907bd687d09,KLAP,Klaytn,klap,klap-finance,Lending,2389690.80508905,Automatically,2023-09-09
Kleva Farm,klay-token:0x5fff3a6c16c2208103f318f4713d4d90601a7313,KLEVA,Klaytn,kleva-farm,kleva,Leveraged Farming,15432364.236560734,Manually,2023-09-09
KyberSwap Classic,ethereum:0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,KNC,Multi-Chain,kyberswap-classic,kyber-network-crystal,Dexes,13297586.651296573,Manually,2023-09-09
KyberSwap Elastic,ethereum:0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,KNC,Multi-Chain,kyberswap-elastic,kyber-network-crystal,Dexes,41018608.31976183,Manually,2023-09-09
KnightSwap Finance,bsc:0xD23811058Eb6e7967D9a00dc3886E75610c4AbBa,KNIGHT,Multi-Chain,knightswap-finance,,Dexes,5069671.586357967,None,2023-09-09
Kokoa Finance,klay-token:0xb15183d0d4d5e86ba702ce9bb7b633376e7db29f,KOKOA,Klaytn,kokoa-finance,kokoa-finance,CDP,2705229.33629531,Automatically,2023-09-09
Kokonut Swap,klay-token:0xcd670d77f3dcab82d43dff9bd2c4b87339fb3560,KOKOS,Multi-Chain,kokonut-swap,kokonut-swap,Dexes,6710269.916909383,Manually,2023-09-09
Keep3r Network,ethereum:0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,KP3R,Ethereum,keep3r-network,keep3rv1,Derivatives,23688886.62853875,Automatically,2023-09-09
Kromatika,optimism:0x3af33bef05c2dcb3c7288b77fe1c8d2aeba4d789,KROM,Multi-Chain,kromatika,kromatika,Dexes,1106667.1320286628,Automatically,2023-09-09
KlaySwap,klay-token:0xc6a2ad8cc6e4a7e08fc37cc5954be07d499e7654,KSP,Klaytn,klayswap,klayswap-protocol,Dexes,71677489.93337585,Automatically,2023-09-09
KTX.Finance,binance-smart-chain:0x545356d4d69d8cD1213Ee7e339867574738751CA,KTC,Multi-Chain,ktx.finance,ktx-finance,Derivatives,3842678.0057372777,Manually,2023-09-09
Kinza Finance,,KZA,Binance,kinza-finance,,Lending,1069244.7771599228,None,2023-09-09
LayerBank,linea:0xB97F21D1f2508fF5c73E7B5AF02847640B1ff75d,LAB,Linea,layerbank,,Lending,1444657.097119669,None,2023-09-09
Larix,solana:Lrxqnh6ZHKbGy3dcrCED43nsoLkM1LTzU2jRfWe8qUC,LARIX,Solana,larix,larix,Lending,3859715.151688325,Automatically,2023-09-09
Starlay Finance,astar:0xc4335b1b76fa6d52877b3046eca68f6e708a27dd,LAY,Astar,starlay-finance,starlay-finance,Lending,2104847.952855687,Automatically,2023-09-09
Lybra V1,0xed1167b6Dc64E8a366DB86F2E952A482D0981ebd,LBR,Ethereum,lybra-v1,,CDP,58662174.38747022,None,2023-09-09
Lybra V2,0xed1167b6Dc64E8a366DB86F2E952A482D0981ebd,LBR,Ethereum,lybra-v2,,CDP,74659523.78183497,None,2023-09-09
Lido,ethereum:0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,Multi-Chain,lido,lido-dao,Liquid Staking,13818522946.717949,Automatically,2023-09-09
Lendle,,LEND,Mantle,lendle,,Lending,1526841.9499958404,None,2023-09-09
Lifinity,solana:LFNTYraetVioAPnGJht4yNg2aUZFXR776cMeN9VMjXp,LFNTY,Solana,lifinity,lifinity,Dexes,4052580.6985603534,Automatically,2023-09-09
Linear Finance,binance-smart-chain:0x762539b45A1dCcE3D36d080F74d1AED37844b878,LINA,Binance,linear-finance,linear,Derivatives,7415733.432827219,Automatically,2023-09-09
LiNEAR Protocol,near-protocol:0x918dbe087040a41b786f0da83190c293dae24749,LINEAR,Near,linear-protocol,linear-protocol,Liquid Staking,15528619.581607375,Automatically,2023-09-09
Liquis,ethereum:0xD82fd4D6D62f89A1E50b1db69AD19932314aa408,LIQ,Ethereum,liquis,liquis,Yield,1882314.1393051576,Automatically,2023-09-09
Liquid Finance,arbitrum:0x93c15cd7de26f07265f0272e0b831c5d7fab174f,LIQD,Arbitrum,liquid-finance,liquid-finance,Yield,1210010.503482597,Automatically,2023-09-09
Bunni,ethereum:0xfd0205066521550d7d7ab19da8f72bb004b4c341,LIT,Multi-Chain,bunni,timeless,Liquidity manager,8714634.78121173,Manually,2023-09-09
Lodestar V1,arbitrum:0xF19547f9ED24aA66b03c3a552D181Ae334FBb8DB,LODE,Arbitrum,lodestar-v1,lodestar,Lending,6164860.744375211,Manually,2023-09-09
Tokenlon,ethereum:0x0000000000095413afc295d19edeb1ad7b71c952,LON,Ethereum,tokenlon,tokenlon,Dexes,1537103.886512008,Automatically,2023-09-09
Liqwid,cardano:8e420ce194ca84040ba6971e6ab816e3d76ee9ee,LQ,Cardano,liqwid,liqwid-finance,Lending,17690334.507432584,Automatically,2023-09-09
Liquid Driver,fantom:0x10b620b2dbac4faa7d7ffd71da486f5d44cd86f9,LQDR,Multi-Chain,liquid-driver,liquiddriver,Yield,1183870.7880219875,Automatically,2023-09-09
Liqee,,LQE,Multi-Chain,liqee,,Lending,19166016.12713153,None,2023-09-09
Liquity,ethereum:0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,Ethereum,liquity,liquity,CDP,637147584.3868066,Automatically,2023-09-09
Loopring,ethereum:0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,LRC,Ethereum,loopring,loopring,Dexes,91251718.74840371,Automatically,2023-09-09
LumenSwap,stellar:GAB7STHVD5BDH3EEYXPI3OM7PCS4V443PYB5FNT6CFGJVPDLMKDM24WK,LSP,Stellar,lumenswap,lumenswap,Dexes,7054508.205345,Automatically,2023-09-09
Level Finance,binance-smart-chain:0xB64E280e9D1B5DbEc4AcceDb2257A87b400DB149,LVL,Multi-Chain,level-finance,level,Derivatives,15484047.45400174,Automatically,2023-09-09
Levana Perps,,LVN,Multi-Chain,levana-perps,,Derivatives,2049422.5234327456,None,2023-09-09
Lyra,optimism:0x50c5725949a6f0c72e6c4a641f24049a917db0cb,LYRA,Multi-Chain,lyra,lyra-finance,Options,15947713.338017408,Automatically,2023-09-09
Liquid Collective,ethereum:0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549,LsETH,Ethereum,liquid-collective,liquid-staked-ethereum,Liquid Staking,30299232.22099264,Automatically,2023-09-09
Maia V3,metis:0x72c232D56542Ba082592DEE7C77b1C6CFA758BCD,MAIA,Metis,maia-v3,maia,Dexes,1350945.4034477023,Manually,2023-09-09
Mare Finance V2,kava:0xd86C8d4279CCaFbec840c782BcC50D201f277419,MARE,Kava,mare-finance-v2,mare-finance,Lending,3453636.436113572,Manually,2023-09-09
Mars Protocol,terra:terra12hgwnpupflfpuual532wgrxu2gjp0tcagzgx4n,MARS,Multi-Chain,mars-protocol,,Lending,5271036.593898631,Manually,2023-09-09
Polygon,polygon:0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,MATIC,Polygon,,matic-network,Other,,Manually,2023-09-09
Maverick Protocol,ethereum:0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd,MAV,Multi-Chain,maverick-protocol,maverick-protocol,Dexes,40370134.02067602,Automatically,2023-09-09
MUX Protocol,ethereum:0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,MCB,Multi-Chain,mux-protocol,mcdex,Derivatives,49592215.73298573,Automatically,2023-09-09
MCDEX,ethereum:0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,MCB,Multi-Chain,mcdex,mcdex,Dexes,1112987.995332532,Manually,2023-09-09
MDEX,binance-smart-chain:0x9c65ab58d8d978db963e63f2bfb7121627e3a739,MDX,Multi-Chain,mdex,mdex,Dexes,28245163.472211897,Automatically,2023-09-09
Megaton Finance,ton:EQB-cCOQDwerEnUD4-6xoYD0eL6_yC1zogAvA5GuXTF0iDIf,MEGA,TON,megaton-finance,megaton-finance,Dexes,4841626.2695898,Manually,2023-09-09
Mendi Finance,linea:0x43e8809ea748eff3204ee01f08872f063e44065f,MENDI,Linea,mendi-finance,,Lending,2088261.6091073616,None,2023-09-09
Meteora vaults,solana:MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K,MER,Solana,meteora-vaults,mercurial,Yield Aggregator,7978311.293674655,Manually,2023-09-09
Meteora pools,solana:MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K,MER,Solana,meteora-pools,mercurial,Dexes,6422417.333533889,Automatically,2023-09-09
Meshswap,polygon:0x82362ec182db3cf7829014bc61e9be8a2e82868a,MESH,Polygon,meshswap,meshswap-protocol,Dexes,8598329.626613896,Automatically,2023-09-09
Metronome Synth,ethereum:0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,MET,Multi-Chain,metronome-synth,metronome,Synthetics,9666841.14408965,Manually,2023-09-09
Metronome V1,ethereum:0x2Ebd53d035150f328bd754D6DC66B99B0eDB89aa,MET,Ethereum,metronome-v1,metronome,Services,1398437.704788559,Automatically,2023-09-09
Meta Pool Near,near-protocol:0xc21ff01229e982d7c8b8691163b0a3cb8f357453,META,Multi-Chain,meta-pool-near,meta-pool,Liquid Staking,13086981.790806608,Manually,2023-09-09
xExchange,elrond:MEX-455c57,MEX,Elrond,xexchange,maiar-dex,Dexes,33313566.268596634,Automatically,2023-09-09
Moonwell Apollo,moonriver:0xbb8d88bcd9749636bc4d2be22aac4bb3b01a58f1,MFAM,Moonriver,moonwell-apollo,moonwell,Lending,1899722.1743847665,Automatically,2023-09-09
MugenFinance,arbitrum:0xfc77b86f3ade71793e1eec1e7944db074922856e,MGN,Arbitrum,mugenfinance,mugen-finance,Yield Aggregator,3353271.0488296,Automatically,2023-09-09
Magpie,binance-smart-chain:0xD06716E1Ff2E492Cc5034c2E81805562dd3b45fa,MGP,Multi-Chain,magpie,magpie,Yield,6358572.55863449,Automatically,2023-09-09
MuesliSwap,cardano:8a1cfae21368b8bebbbed9800fec304e95cce39a2a57dc35e2e3ebaa.MILK,MILK,Multi-Chain,muesliswap,muesliswap-milk,Dexes,4501853.223948834,Automatically,2023-09-09
Mimo Protocol,ethereum:0x90b831fa3bebf58e9744a14d638e25b4ee06f9bc,MIMO,Multi-Chain,parallel-protocol,mimo-parallel-governance-token,CDP,17857612.49867714,Automatically,2023-09-09
